skill_key,name,tree,tier,cost,prereq_raw,matched_prereq_keys,chain,is_active,source_label,description
mercenary_veteran,Veteran,Mercenary,3,1200,"At least 8 Combat OR Class, +4 Knowledge",,Adept → Operative → Veteran,True,Railbound Skill Guide v4 p20,Unlocking Specialist means you are a natural-born leader and trusted operative within the company. ● This skill unlocks greater action economy. ○ +1 Action ○ +1 Reaction
knowledge_linguistics,Linguistics,Knowledge,1,100,None,,,True,Railbound Skill Guide v4 p24,"You have studied language syntax and its use, both formal and casual, written and spoken. ● Able to translate and read “Old Republic” writings, frequently found in historical documents and ruins. ● Able to translate Republic “legalese.” ● +2 to Language, Translation, and Dialect Skill Checks"
knowledge_mathematics,Mathematics,Knowledge,1,100,Variable,,,True,Railbound Skill Guide v4 p24,"You are a studious mathematician, and you excel at applying your theories in the everyday. ● Your character MUST have an educated or gifted background, or significant RP to support this trait. ● Because you can easily calculate arrow/bullet drop and projectile motion: ○ Gain a permanent +5% max range with firearms. ○ Gain a permanent +10% max range with simple ranged weapons. ● +2 to all mathematical, spatial, and encryption skill checks."
knowledge_physics,Physics,Knowledge,1,100,Variable,,,True,Railbound Skill Guide v4 p24,"You are thrilled by the mechanical laws of nature, and you excel at applying your theories in the everyday. ● Your character MUST have an educated or gifted background, or significant RP to support this trait. ● Because you naturally understand applied force: ○ Gain a permanent +2% output bonus with melee weapons. ● +2 to all physics and kinetic design skill checks"
knowledge_chemistry,Chemistry,Knowledge,1,100,Variable,,,True,Railbound Skill Guide v4 p25,"You are thrilled by the most logical ‘magic’ there is, and you excel at applying your theories in the everyday. ● Your character MUST have an educated or gifted background, or significant RP to support this trait. ● You are better at making reliable medications and chemical concoctions. ○ When creating recipes for medicines or chemistry-based concoctions, you may request an additional minor trait or bonus for your creations. ● +2 to all chemistry, alchemical, and reactive herbalism skills."
knowledge_geology,Geology,Knowledge,1,100,Variable,,,True,Railbound Skill Guide v4 p25,"It’s not dirt to you – it’s history. A rock is never a rock – it’s a crucial resource with boundless applications. ● Your character MUST have an educated, gifted, or relevant background in spelunking, prospecting, surveying, or mining; or, significant RP to support this trait. ● You know where every type of mineral or soil is found in Doranswyr, and can identify them all. ● You can ascertain the authenticity and value of jewels and rare minerals. ● You may ask the GM for ONE hint relying on geology when in an underground or related scene. ● +2 to all geology, mineral, stone, gem, and soil skill checks."
knowledge_biology,Biology,Knowledge,1,100,Variable,,,True,Railbound Skill Guide v4 p25,"The study of life isn’t just a field for mages. You understand biological functions, anatomy, and biochemistry, and understand there is a microcosmos that much of the public doesn’t believe in. ● Your character MUST have an educated or gifted background, or significant RP to support this trait. ● You are more gifted at diagnosis, and can recognize common diseases and disorders just by looking at a victim or a sample. ● +2 to all general biology checks. Religious & Cultural Skills"
knowledge_catechumen,Catechumen,Knowledge,1,100,Roleplay,,,True,Railbound Skill Guide v4 p26,You have a layman’s understanding of a given faith. ● You can obtain this skill through significant roleplay. ● This skill is free at character creation to DEVOUT characters only. ● Grants LORE ACCESS to the chosen faith. ● +2 to faith-based knowledge checks.
knowledge_luminary,Luminary,Knowledge,1,300,"Catechumen, Roleplay",knowledge_catechumen,,True,Railbound Skill Guide v4 p26,"You have obtained a scholarly or ordained level of knowledge with a given faith, and understand their rituals, secrets, and sacred texts. ● You can obtain this skill through significant roleplay. ● This skill is available (not free) at character creation to ORDAINED characters only. ● This skill is REQUIRED to formally RP as an ordained member of a faith. ● Grants higher-level LORE ACCESS to the chosen faith. ● +4 to faith-based knowledge checks."
knowledge_doranswyr_historian,Doranswyr Historian,Knowledge,1,100,None,,,True,Railbound Skill Guide v4 p26,"A keen interest in the past has led to substantial study of national history. You know more than the average bear about important figures, global politics, and the history of the Doranswyr Republic. ● Grants higher-level LORE ACCESS to Doranswyr. ● +2 to historical skill checks."
knowledge_local_study_city_states,Local Study: City-States,Knowledge,1,300,Variable,,,True,Railbound Skill Guide v4 p27,"You understand the local customs, culture, and history of a particular region; this includes who the important players are, how trade is conducted, and even knowledge about crime. ● Grants LORE ACCESS to the selected city-state. ● This skill is FREE with an Origin trait. ● You can take this skill multiple times for different city-states, with substantial roleplay. ● +4 to any skill check relating to the city-state, including “streetwise” type checks"
knowledge_martial_historian,Martial Historian,Knowledge,1,300,Doranswyr Historian,knowledge_doranswyr_historian,,True,Railbound Skill Guide v4 p27,"You took a keen interest in martial history, studying not only battle outcomes, but the tactics used and why they succeeded and failed. ● You may ask for one field strategy boon from the GM when entering open-field battles. ● +4 to all combat, martial, and strategy skill checks Skilled Trade Skills"
knowledge_print_forgery,Print Forgery,Knowledge,1,300,Linguistics,knowledge_linguistics,,True,Railbound Skill Guide v4 p28,"You have skillful handwriting, have practiced calligraphy, and can genuinely copy others’ patterns. ● You are better at spotting forgeries and ascertaining the authenticity of genuine articles. ● You are able to make forgeries – the quality of which is determined by roll. ● +4 to forgery-related skill checks"
knowledge_cartography,Cartography,Knowledge,1,150,None,,,True,Railbound Skill Guide v4 p28,You are skilled at remembering locations & terrain and have the ability to readily recreate it in the form of maps. ● You are able to create maps of places you been to (Missions and Events) ● With the maps you can recall locations and figure out if there are secret passage ways and can tell if a place was there always or not ● +4 to map/location-related skill checks
knowledge_codebreaking,Codebreaking,Knowledge,1,300,Linguistics,knowledge_linguistics,,True,Railbound Skill Guide v4 p28,"You have studied syntax and patterns so much that you have become skills with making and breaking language ciphers. You can also decode unknown languages more easily. ● You are able to request a cipher hint from GMs once per scene for free. ● Subsequent requests must be rolled for. ● +4 to all cipher, encryption, and translation checks"
knowledge_automata_design,Automata Design,Knowledge,1,300,Variable,,,True,Railbound Skill Guide v4 p28,"Gears, servos, stepper motors… if it moves, you’ve taken it apart and put it back together again. ● REQUIRES Mathematics OR Physics, OR significant RP ● You have a unique understanding of automata and know their weaknesses and strengths. ● You gain +5% output against automata. Includes Forgeborn exoskeletons. ● +4 to all skill checks dealing with automata."
knowledge_steam_engines,Steam Engines,Knowledge,1,300,Variable,,,True,Railbound Skill Guide v4 p30,"You know how to sooth temperamental steam engines, boilers, hydraulics, and pressure-based engines. ● REQUIRES Chemistry OR Physics, OR significant RP ● You are able to repair or sabotage steam-based technology with injury. ● You are able to pilot steam-based engines without risk. ● As Forgeborn: You are able to make safe steam-powered inventions. ● +4 to all skill checks dealing with steam technology."
knowledge_gasworks,Gasworks,Knowledge,1,300,Chemistry,knowledge_chemistry,,True,Railbound Skill Guide v4 p30,"Before electricity, the cities were lit by thousands of miles of gas lines – and most still are. ● REQUIRES Chemistry, OR significant RP ● You can repair or sabotage lines safely. ● You can detect and identify gasses naturally. ● You know how to find gas lines and work with gas. ● As Forgeborn: You are able to make safe gas-powered inventions. ● +4 to all skill checks dealing with gas technology."
knowledge_electricity,Electricity,Knowledge,1,300,Physics,knowledge_physics,,True,Railbound Skill Guide v4 p30,"The newest and most dangerous invention, you are fascinated by this power that is indistinguishable from magic. ● REQUIRES Physics, OR significant RP ● You can safely overload and reroute power, work with electricity, or and work on electric devices. ● As Forgeborn: You are able to make safe electric inventions. ● +4 to all skill checks dealing with electricity."
knowledge_metallurgy,Metallurgy,Knowledge,1,300,Geology,knowledge_geology,,True,Railbound Skill Guide v4 p31,"Metals, alloys, and all of their properties – you understand them implicitly, and have a wealth of skill at finding new applications for them. ● REQUIRES Geology, OR significant RP ● Your forged weapons and items have better durability and keener edges than anyone else’s. ○ Choose between either: ■ +2% Output Bonus ■ +10% Item Durability ● +4 to all skill checks dealing with metals and alloys."
knowledge_veterinary_study,Veterinary Study,Knowledge,1,300,Biology,knowledge_biology,,True,Railbound Skill Guide v4 p31,"You’ve studied animal physiology and behavior, and understand how their bodies work. ● REQUIRES Biology, OR significant RP ● You are able to use Field Medic skills on animals with no penalty. ● +4 to all skill checks dealing with animal physiology, behavior, diets, and anatomy."
field_medic_basic_medkits,Basic Medkits,Field Medic,0,20,None,,Basic Medkits→ Advanced Medkits,True,Railbound Skill Guide v4 p36,"You are able to craft and use basic medkits. You understand what should be in them and how every tool should be used. The most common basic medkits are first aid kits that can treat shallow wounds and illnesses. Medkits are labeled as Basic or Advanced, and may be used to treat different types of ailments. When using Medkits, you are not able to attack or react."
field_medic_advanced_medkits,Advanced Medkits,Field Medic,1,265,None,,Basic Medkits→ Advanced Medkits,True,Railbound Skill Guide v4 p36,"You are able to craft and use advanced medkits. You understand what should be in them and how every tool should be used. The most common advanced medkits are surgical kits that can be used to treat grievous wounds in the field. Medkits are labeled as Basic or Advanced, and may be used to treat different types of ailments. When using Medkits, you are not able to attack or react."
field_medic_prepared_medic_i,Prepared Medic I,Field Medic,1,100,None,,Prepared Medic I → Prepared Medic II → Prepared Medic III,True,Railbound Skill Guide v4 p36,You have been mentored on how to best pack your medical supplies for quick access in the field. ● You can carry twice the number of Basic medkits. ( WU x 0.5 on all basic medkits)
field_medic_prepared_medic_ii,Prepared Medic II,Field Medic,1,265,None,,Prepared Medic I → Prepared Medic II → Prepared Medic III,True,Railbound Skill Guide v4 p37,You’re learning how to tightly pack medical supplies without compromising them. ● You can now carry twice the number of Advanced medkits. ( WU x 0.5 on all advanced medkits)
field_medic_prepared_medic_iii,Prepared Medic III,Field Medic,2,475,None,,Prepared Medic I → Prepared Medic II → Prepared Medic III,True,Railbound Skill Guide v4 p37,"You are no stranger to your kits – you can unpack them and reorganize them without losing track of where anything is kept on your person, and it’s almost as if they’re not even there. ● You can carry 1 Basic and 1 Advanced medkit FOR FREE. ● Additional medkits of each type still weigh half as much as normal. Medical Training Skills"
field_medic_stabilization,Stabilization,Field Medic,1,100,None,,None,True,Railbound Skill Guide v4 p38,"Stabilization is the practice of advanced emergency triage. Stabilization is faster than trying to completely treat a wound with a medkit – instead, the focus is simply on salvaging living tissue as quickly as possible, and is ideal in dangerous situations where there isn’t enough cover to allow a field medic to work. Stabilization will fully stop bleeding and arrest death, but does not treat wounds and cannot be used to revive patients. Medics with this skill can always stabilize, even if they do not have a medkit available. Every actively bleeding or life-threatening wound requires a separate medkit. Stabilization With Basic Medkits: ● Consumes the Medkit. ● Takes 2 Turns for T4 and below. ○ Stabilization is not possible for T5. ● Medic cannot attack or defend during this period. Stabilization With Advanced Medkits: ● Consumes the Medkit. ● Takes 1 Turn for T4 and below. ○ Takes 3 Turns for T5+. Simply beginning this process arrests death but it CANNOT be stopped once begun, or the patient will die. ● Medic cannot attack or defend during this period. Stabilization Without Medkits: ● Takes 1 Turn for T3 and below. ○ Takes 2 Turns for T4. ○ Stabilization is not possible for T5. ● Medic cannot attack or defend during this period."
field_medic_surgery,Surgery,Field Medic,2,475,None,,None,True,Railbound Skill Guide v4 p39,"You are more than just a medic – you’re a doctor. Or a bonesaw. Potato, potahto. Using an Advanced Medkit, you are able to perform surgical procedures outside of combat. Requires significant RP. These procedures include, but are not limited to: ● Cosmetic surgeries ● Reattachment of limbs ● Organ removal and transplants (okay, war criminal) Surgery success is based on a 1d20 roll. ● Nat 1: Critical Fail - Roll a 1d4 to see what Tier of injury you just dealt to your patient. ● 2 - 10: Surgery failure. Medkit is consumed, no change. ● 11+: Surgery success. ● Nat 20: Surgery success + you salvage your Advanced Medkit and do not consume it. Knowledge Skills and Luck modifiers support Surgical attempts."
field_medic_compound_medicine,Compound Medicine,Field Medic,1,265,None,,None,True,Railbound Skill Guide v4 p40,"You have learned to create compound medicinals that are far more potent than anything a herbalist can create. You can combine medicines, perform assays, and study the properties of various medications. This is a crafting skill. To use this skill, you will need to create a recipe and a new medication, which must be submitted with your Recipe Journal. Staff will work with you on how to obtain the items you create through this skill, and how often you can create these items."
tactician_tactical_orders_i,Tactical Orders I,Tactician,1,100,None,,Tactical Orders I → Tactical Orders II → Tactical Orders III,True,Railbound Skill Guide v4 p45,"You can issue clear, concise commands in the middle of combat that allies can immediately act on. These orders can be anyone of the 2 for one ally: ● You can target on ally boosting their clashing output by 7% ● Boost their Dodge by 10% At this level, your influence is limited to 1 person."
tactician_tactical_orders_ii,Tactical Orders II,Tactician,1,265,None,,Tactical Orders I → Tactical Orders II → Tactical Orders III,True,Railbound Skill Guide v4 p45,"Your authority and clarity improve, allowing you to direct 1-2 allies now. Not only has your orders you can display increased in target but also in power: ● You can target on ally boosting their clashing output by 14% ● Boost their Dodge by 15% Your presence begins to noticeably increase your team’s overall efficiency."
tactician_tactical_orders_iii,Tactical Orders III,Tactician,2,475,None,,Tactical Orders I → Tactical Orders II → Tactical Orders III,True,Railbound Skill Guide v4 p45,"You are no longer just giving orders but you are directing the flow of battle itself. You can now at max effect with 1-3 people with the increased power of your orders along with a new one. Must choose one for action: ● You can target on ally boosting their clashing output by 20% ● Boost their Dodge by 15% & Reaction ● Make an enemy the single target: If an ally attacks the target they get a 5% output bonus. At this level, your commands can shift the outcome of encounters when used correctly. Tracking and Strategy Skills"
tactician_target_tracking,Target Tracking,Tactician,1,100,None,,None,True,Railbound Skill Guide v4 p46,"Through observation of terrain, disturbances, and behavioral patterns, you are able to track targets with a level of precision that borders on prediction. Footprints, broken foliage, displaced dust, and even the absence of movement all become information to you. You get a +1 to the following: ● Track individuals or groups across varied environments (urban, wilderness, battlefield aftermath) ● Determine approximate numbers, pace, and condition of those you are tracking ● Identify changes in movement such as splitting, regrouping, or attempts to hide their trail ● Predict likely routes, destinations, or ambush points based on terrain and behavior When assisting allies, gain a +3 to the following: ● Reducing the chance of being misled or ambushed while pursuing a target ● Improve the setup of ambushes by anticipating enemy movement ● Provide advance warnings of nearby threats before direct contact Knowledge Skills and Luck modifiers support Target Tracking."
tactician_battlefield_awareness,Battlefield Awareness,Tactician,2,475,None,,None,True,Railbound Skill Guide v4 p46,"Movement, spacing, hesitation, aggression… It all tells a story. With enough focus, you can read that story in real time and act before danger fully unfolds. This skill allows you to attempt a Battlefield Read, predicting enemy actions and identifying threats before they resolve. Using Battlefield Awareness requires active focus and a callout to the GM. This can be done at the start of a turn or in response to a developing situation. Battlefield Read (1d20 Roll): ● Nat 1: Critical Fail - Roll a 1d4 [chosen by the gm], that your character will think is true ● 2 - 10: Failed Read - Nothing came to mind, no change. ● 11+: Successful Read - You can roll a 1d4 on what information you can learn to assist in combat ● Nat 20: Critical Success - You get to know all the information that can assist in a win in combat and can be based on a 1d3 roll to see if reinforcements are coming. Knowledge Skills and Luck modifiers support Battlefield Awareness."
smuggler_light_load,Light Load,Smuggler,0,20,None,,Light Load → Hidden Compartments,True,Railbound Skill Guide v4 p51,With this skill smugglers can mark one item that is medium or smaller as lighter load. With it being counted as such they can then have its weighted value be set at zero. As smugglers always know how to move items into places they have no business Example: ● Shortsword/Rapier is normally weight at 2 and it a medium but with this skill it’s weighted at zero
smuggler_hidden_compartments,Hidden Compartments,Smuggler,1,265,None,,Light Load → Hidden Compartments,True,Railbound Skill Guide v4 p52,"Always a secret pocket, zipper or bag placed somewhere to hold items that weren’t thought to be there. Based on whichever bag/satchel they have on them. It will have a +2 of its weight value added. So the smuggler can carry more items for people or themselves. Example: ● Small Bag: 1+2=3 ● Medium Bag: 2+2=4 ● Large Bag: 3+2=5"
smuggler_concealment,Concealment,Smuggler,1,100,None,,Concealment → Mass Concealment,True,Railbound Skill Guide v4 p52,"You are highly skilled in masking your presence, movements, and intent, allowing you to slip through spaces without drawing attention. Whether it’s through careful footwork, use of shadows, or reading the environment, you know how to make yourself difficult to notice even in active areas. This skill reflects practiced stealth rather than luck. You understand when to move, when to stay still, and how to control your visibility. This skill grants: ● A +5 bonus to all Stealth-related checks when acting alone ● Improved ability to blend into environments and avoid detection ● Greater control over when and how you are noticed You are not invisible but unless someone is actively searching, you are rarely seen."
smuggler_mass_concealment,Mass Concealment,Smuggler,1,265,None,,Concealment → Mass Concealment,True,Railbound Skill Guide v4 p52,"You extend your mastery of stealth beyond yourself, guiding others in how to move quietly and remain unseen. Through subtle signals, pacing, and environmental awareness, you help groups avoid detection as a unit rather than as individuals. This requires awareness of not just your own actions, but everyone around you, making you a natural leader in stealth-based situations. This skill grants: ● A +3 bonus to all Stealth and disappearance-based checks for allies within your presence ● Improved coordination when moving as a group in stealth scenarios ● Increased success when attempting to hide, reposition, or disengage together Unlike Concealment, this skill focuses on the group your presence makes others harder to detect, even if they lack your experience. Routes & Trade Skills"
smuggler_safer_routes,Safer Routes,Smuggler,1,100,None,,Safer Routes → Ghost Run,True,Railbound Skill Guide v4 p53,"You have developed a strong instinct for survival, especially when situations begin to turn against you. You know how to quickly identify escape paths, avoid pursuit, and guide yourself or others out of danger with minimal risk. This isn’t just about running, it's about retreating intelligently and knowing when to disengage before things get worse. Does cost 2 AP This skill grants: ● Advantage on all rolls and checks related to retreating or disengaging ● Improved ability to identify safe paths under pressure ● Reduced risk when escaping from hostile situations When things fall apart, you are the reason people make it out."
smuggler_ghost_run,Ghost Run,Smuggler,2,475,None,,Safer Routes → Ghost Run,True,Railbound Skill Guide v4 p53,"You have mastered the art of moving through spaces as if you were never there to begin with. By committing focus and effort, you can guide others through hidden paths, blind spots, and overlooked routes that avoid even heavy surveillance. This is not just stealth — it is controlled disappearance, turning movement into something nearly untraceable. This skill grants: ● By spending 3 AP, you can give advantage on Stealth checks for yourself and allies for the duration of a scene ● Greatly improved ability to navigate guarded or high-risk areas undetected ● The ability to coordinate full-group stealth operations with high success"
smuggler_black_market_access,Black Market Access,Smuggler,2,500,None,,None,True,Railbound Skill Guide v4 p54,"You have established connections within underground trade networks that operate beyond the reach of normal authority. These connections grant you access to goods, information, and opportunities that are not available through standard means. Whether through reputation, favors, or past dealings, you are recognized as someone who can be trusted or at least tolerated within these circles. This skill grants: ● Access to a restricted Black Market shop unavailable to most characters unless a special event ○ It will be a locked channel only unlocked for people with this skill unless stated otherwise ● The ability to purchase rare, stronger, or limited-time items ● A +2 bonus to all checks related to black market dealings and smuggling ○ If you have a Criminal background, this bonus increases to +4, reflecting deeper integration into these networks."
politician_silver_tongue,Silver Tongue,Politician,0,20,None,,Silver Tongue→ Master Negotiator,True,Railbound Skill Guide v4 p58,"You possess a natural gift for persuasion, able to weave words in a way that makes others more receptive to your intentions. Whether through charm, logic, or subtle manipulation, you can guide conversations without others immediately realizing it. This ability doesn’t guarantee success, but it consistently tilts social interactions in your favor when used skillfully. Gain a +1 to the following (other bonuses are included): ● Improves persuasion during conversations and negotiations ● Can de-escalate minor conflicts or tensions ● Slightly increases chances of favorable NPC reactions"
politician_master_negotiator,Master Negotiator,Politician,1,265,None,,Silver Tongue→ Master Negotiator,True,Railbound Skill Guide v4 p59,"You are a master of dialogue and deal-making, capable of controlling the pace and structure of high-stakes discussions. Your presence alone shifts the balance of power, forcing others to consider compromise even when they hold the advantage. In critical moments, you can shape outcomes that would otherwise seem inevitable. Once per scene, boost chances for a temporary ceasefire or compromise: ● Gain an advantage roll when rolling for this along with bonuses ● Can broker complex agreements between multiple parties ● Turn unfavorable deals into balanced or advantageous ones"
politician_reputation_management,Reputation Management,Politician,1,100,None,,Reputation Management → Political Network,True,Railbound Skill Guide v4 p59,"You understand that perception is often more important than truth, and you actively work to maintain a favorable image. Through careful wording and timely responses, you can minimize the damage of mistakes or rumors. While not immune to consequences, you are far better at controlling how those consequences are perceived. As long as your character isn’t viewed negatively and up to GM discretion: ● Reduce negative consequences from minor failures or scandals"
politician_political_network,Political Network,Politician,1,265,None,,Reputation Management → Political Network,True,Railbound Skill Guide v4 p59,"You have cultivated a wide network of allies, informants, and favors that extends beyond direct interactions. This network allows you to gather information, call in assistance, and influence events without being physically present. Your reputation now precedes you, shaping situations before you even arrive. Requires you to be viewed positively, and you must keep up with an extensive list of allies: ● Call in assistance, information, or minor resources once per scene ○ Must have access to use them for help ● Gain early warnings about threats or opportunities Economic Skills"
politician_passive_income,Passive Income,Politician,1,100,None,,None,True,Railbound Skill Guide v4 p60,"You maintain small but consistent sources of revenue through side deals, favors, or minor holdings. These earnings require little direct oversight, allowing you to focus on other matters while still benefiting financially. Though modest, this income provides steady support over time. Gain a small amount of currency between scenes: ● If you are working with a NPC that has a shop and after helping at the end of a scene your gm can set up a d20 and based on modifiers and what you did can decide if you have access to gaining profit from them. ● You can only have a max of 5 passive income opportunities at once. Aswell they only give you anywhere from 10-50 currency (rolled by GM too) at the end of the month. ○ It is up to the player to remind staff to give it to them. ○ If missed it cannot be doubled up, but a grace period is allowed if by a couple of days."
politician_investment_making,Investment Making,Politician,2,475,None,,None,True,Railbound Skill Guide v4 p60,"You are capable of allocating resources toward opportunities that may yield future returns. While not every investment is guaranteed to succeed, you have a basic sense of risk versus reward. Over time, your ability to grow wealth through planning can show results that can shop anyone. In a scene anyone with this skill can invest into a NPC shop in a mission: ● Spend currency to gain returns after a set number of scenes ○ After investing any money they currently have to wait 3 scenes (RP or Mission) ● Small chance of bonus profit ○ Based on the roll out of the 1d4: ■ 5% ■ 10% ■ 15% ● Minor risk of partial loss ○ Based on the roll out of the 1d4: ■ Complete lost of money"
politician_contractional_servitude,Contractional Servitude,Politician,1,265,Silver Tongue & Reputation Management,"politician_reputation_management, politician_silver_tongue",None,True,Railbound Skill Guide v4 p61,"You possess the ability to turn most things into an opportunity, binding captured or surrendered enemies through agreements. Whether through coercion, leverage, or offering them a path to survival, you force them into temporary service under your authority. These contracts are NOT magical, but are reinforced by your reputation, and the circumstances surrounding their capture. While the control is not absolute, most targets will comply out of necessity, fear, or self-interest: ● Convert one captured enemy into a temporary asset ● Asset remains loyal for 3 mission-based scenes ● Limited access to their abilities ○ You will learn their traits (Max of 5 points, but no negative traits beyond a -1) ■ Including Origin traits are allowed ○ Stats ○ Items (cannot have or give their items away) ● When using them in combat they have their own Action, Reaction and Bonus Action. ○ However they can only act Before or After you."
martial_heavy_armaments,Heavy Armaments,Martial,0,50,None,,Heavy Armaments → Taunt → Dominion Heavy Armaments → Berserker → Sweeping Strike Heavy Armaments → Honed Strike → Mastered Strike Heavy Armaments shows your skill in a heavy weapon discipline.,True,Railbound Skill Guide v4 p67,"These weapons include: ● Broadswords, bastard swords, and all two-handed blades ● Heavy hafted weapons - battle axes, warhammers, maces ● Heavy polearms - halberds, tridents, pollaxe, glaives, etc. ● Any other marked “Heavy Arms” + Gain a 2% bonus to damage output when using a heavy arm."
martial_taunt,Taunt,Martial,1,265,None,,"Heavy Armaments → Taunt → Dominion Taunt is the ability to draw the attention of enemies to yourself, and keep you at the forefront of their attention – often distractingly so. The form this ability actually takes is up to the character.",True,Railbound Skill Guide v4 p67,"+ Bonus Action, 1 AP + Adversaries suffer a 10% reaction penalty to ally’s attacks. + Duration: 1 Turn + Only one person in your team may have Taunt active."
martial_dominion,Dominion,Martial,2,475,None,,Heavy Armaments → Taunt → Dominion Dominion is taking control of the battle – you are impossible to ignore.,True,Railbound Skill Guide v4 p68,"+ Bonus Action, 2 AP + Adversaries suffer a 30% reaction penalty to ally’s attacks. + Adversaries suffer a 10% reaction penalty to your own attacks. + Duration: 3 Turns + ONLY ONE PERSON – ALLY OR ENEMY – MAY BE EXPRESSING DOMINION AT A TIME. + Dominion can be broken by another’s use of this skill. + This results in a Dominion clash; each user of Dominion factors the following, with the highest result “winning” and keeping the ability. + (HIGHEST PHYS STAT x 1.25) + (LOWEST PHYS STAT)"
martial_berserker,Berserker,Martial,1,265,None,,"Heavy Armaments → Berserker → Sweeping Strike Berserker is exactly what you think it is – for a limited time, focus all of your energy, adrenaline, and focus into a bloodlust to seize control of the fight. Be careful, however, as this is extremely taxing on the body.",True,Railbound Skill Guide v4 p69,"+ Bonus Action, 3 AP + Duration: 3 Turns + Strength is boosted by x 1.10 + Dexterity is boosted by x 1.10 + Stamina is boosted by x 1.10 + Wound severity is IGNORED. + Wounds obtained during this state are more deadly. + For every injury taken, add a second injury one tier lower. + T1 injuries always result in a second T1. + Wounds given during this state are more deadly. + For every injury given, add a second injury one tier lower. + T1 injuries always result in a second T1. + WHEN THIS EFFECT ENDS, THE FOLLOWING MODIFIERS APPLY FOR THE REST OF THE SCENE: + Strength is weakened: STR x 0.8 + Dex is weakened: DEX x 0.8 + Stamina is weakened: STA x 0.8"
